Sample,Period,RC,QR,CS,EP,WC,Average
2220,2018 - I,2.6667,3.3333,1.3333,2.6667,2.5000,2.5000
2221,2018 - I,2.6667,3.0000,3.3333,2.3333,1.2500,2.5167
2222,2018 - I,3.3333,2.6667,1.6667,3.6667,1.2500,2.5167
2223,2018 - I,3.6667,2.6667,3.3333,1.6667,1.2500,2.5167
2224,2018 - I,2.0000,3.6667,3.3333,2.4444,1.2500,2.5389
2225,2018 - I,4.0000,2.6667,3.3333,1.6667,1.2500,2.5833
2226,2018 - I,3.0000,3.0000,1.6667,2.8889,2.5000,2.6111
2227,2018 - I,2.6667,2.3333,3.3333,2.2222,2.5000,2.6111
2228,2018 - I,3.0000,3.3333,2.0000,2.2222,2.5000,2.6111
2229,2018 - I,2.6667,3.0000,2.0000,1.6667,3.7500,2.6167
2230,2018 - I,2.6667,1.3333,3.0000,2.3333,3.7500,2.6167
2231,2018 - I,3.6667,3.0000,2.6667,2.5556,1.2500,2.6278
2232,2018 - I,3.3333,3.0000,3.0000,2.5556,1.2500,2.6278
2233,2018 - I,2.3333,0.6667,2.6667,2.6667,5.0000,2.6667
2234,2018 - I,3.3333,3.3333,3.0000,2.4444,1.2500,2.6722
2235,2018 - I,3.3333,3.0000,3.3333,2.4444,1.2500,2.6722
2236,2018 - I,2.3333,3.0000,3.6667,1.8889,2.5000,2.6778
2237,2018 - I,2.6667,2.6667,3.3333,2.5556,2.5000,2.7444
2238,2018 - I,2.6667,1.6667,3.0000,2.6667,3.7500,2.7500
2239,2018 - I,2.0000,2.3333,3.0000,2.7778,3.7500,2.7722
2240,2018 - I,3.6667,3.3333,3.0000,2.6667,1.2500,2.7833
2241,2018 - I,3.3333,3.3333,3.0000,3.3333,1.2500,2.8500
2242,2018 - I,4.0000,2.3333,2.6667,2.7778,2.5000,2.8556
2243,2018 - I,2.6667,2.0000,2.6667,2.0000,5.0000,2.8667
2244,2018 - I,3.3333,2.3333,1.6667,3.4444,3.7500,2.9056
2245,2018 - I,3.0000,4.3333,2.6667,3.3333,1.2500,2.9167
2246,2018 - I,3.0000,3.6667,3.3333,2.2222,2.5000,2.9444
2247,2018 - I,2.3333,3.3333,3.0000,3.5556,2.5000,2.9444
2248,2018 - I,3.3333,3.3333,2.6667,2.8889,2.5000,2.9444
2249,2018 - I,3.0000,2.3333,2.6667,1.8889,5.0000,2.9778
2250,2018 - I,3.6667,2.0000,2.3333,3.3333,3.7500,3.0167
2251,2018 - I,3.0000,1.6667,2.6667,2.7778,5.0000,3.0222
2252,2018 - I,2.6667,2.6667,3.6667,2.4444,3.7500,3.0389
2253,2018 - I,3.6667,2.6667,2.6667,2.4444,3.7500,3.0389
2254,2018 - I,2.3333,1.6667,3.0000,3.3333,5.0000,3.0667
2255,2018 - I,4.3333,2.6667,2.6667,3.3333,2.5000,3.1000
2256,2018 - I,2.6667,2.3333,3.3333,3.4444,3.7500,3.1056
2257,2018 - I,3.3333,2.6667,2.0000,3.8889,3.7500,3.1278
2258,2018 - I,2.0000,4.0000,3.3333,3.8889,2.5000,3.1444
2259,2018 - I,3.0000,3.3333,3.3333,2.6667,3.7500,3.2167
2260,2018 - I,3.3333,3.3333,4.0000,3.2222,2.5000,3.2778
2261,2018 - I,4.0000,2.6667,3.6667,4.1111,2.5000,3.3889
2262,2018 - I,4.3333,3.0000,3.6667,3.6667,2.5000,3.4333
2263,2018 - I,3.6667,3.6667,3.6667,3.0000,3.7500,3.5500
2264,2018 - I,3.6667,2.3333,3.6667,3.5556,5.0000,3.6444
2265,2018 - I,3.3333,3.6667,2.3333,4.2222,5.0000,3.7111
2266,2018 - I,2.0000,1.0000,1.3333,1.4444,0.0000,1.1556
2267,2018 - I,1.6667,1.0000,1.3333,1.0000,1.2500,1.2500
2268,2018 - I,1.6667,1.6667,1.3333,1.8889,1.2500,1.5611
2269,2018 - I,1.0000,1.3333,1.6667,1.8889,2.5000,1.6778
2270,2018 - I,2.6667,2.3333,1.3333,1.4444,1.2500,1.8056
2271,2018 - I,2.3333,2.0000,2.0000,2.7778,0.0000,1.8222
2272,2018 - I,1.3333,3.3333,1.0000,2.3333,1.2500,1.8500
2273,2018 - I,2.0000,1.3333,2.3333,1.8889,2.5000,2.0111
2274,2018 - I,2.3333,1.6667,1.6667,1.0000,3.7500,2.0833
2275,2018 - I,2.6667,3.3333,1.6667,1.7778,1.2500,2.1389
2276,2018 - I,2.3333,1.3333,2.6667,2.2222,2.5000,2.2111
2277,2018 - I,1.3333,2.3333,1.6667,2.4444,3.7500,2.3056
2278,2018 - I,2.3333,2.0000,2.3333,1.2222,3.7500,2.3278
2279,2018 - I,3.0000,2.6667,1.6667,2.0000,2.5000,2.3667
2280,2018 - I,2.6667,2.3333,3.0000,3.0000,1.2500,2.4500
2281,2018 - I,3.6667,1.6667,1.6667,2.8889,2.5000,2.4778
2282,2018 - I,2.6667,2.6667,3.6667,2.8889,3.7500,3.1278
2283,2018 - I,2.6667,2.6667,2.6667,3.5556,5.0000,3.3111
2284,2018 - I,3.6667,4.6667,3.0000,3.7778,2.5000,3.5222
2285,2018 - I,3.6667,3.0000,4.3333,3.4444,5.0000,3.8889
2286,2018 - I,2.3333,1.3333,1.6667,1.0000,0.0000,1.2667
2287,2018 - I,1.6667,1.6667,1.3333,1.7778,1.2500,1.5389
2288,2018 - I,2.3333,1.0000,2.0000,1.2222,1.2500,1.5611
2289,2018 - I,2.0000,1.0000,1.3333,1.2222,2.5000,1.6111
2290,2018 - I,2.3333,1.0000,2.3333,2.6667,0.0000,1.6667
2291,2018 - I,2.0000,1.0000,1.6667,1.2222,2.5000,1.6778
2292,2018 - I,2.0000,1.6667,0.6667,1.7778,2.5000,1.7222
2293,2018 - I,3.0000,2.0000,2.3333,1.7778,0.0000,1.8222
2294,2018 - I,1.6667,2.0000,2.6667,1.6667,1.2500,1.8500
2295,2018 - I,1.0000,2.6667,1.6667,1.6667,2.5000,1.9000
2296,2018 - I,2.3333,1.6667,1.3333,1.8889,2.5000,1.9444
2297,2018 - I,3.3333,0.6667,1.3333,1.8889,2.5000,1.9444
2298,2018 - I,2.6667,2.6667,1.6667,3.3333,0.0000,2.0667
2299,2018 - I,2.6667,1.6667,3.0000,1.7778,1.2500,2.0722
2300,2018 - I,3.6667,1.6667,2.3333,1.4444,1.2500,2.0722
2301,2018 - I,3.0000,2.0000,2.6667,1.6667,1.2500,2.1167
2302,2018 - I,3.6667,1.6667,1.3333,1.4444,2.5000,2.1222
2303,2018 - I,2.0000,3.3333,2.6667,1.4444,1.2500,2.1389
2304,2018 - I,2.0000,2.6667,1.3333,2.4444,2.5000,2.1889
2305,2018 - I,1.3333,3.0000,2.3333,1.8889,2.5000,2.2111
2306,2018 - I,2.0000,1.3333,2.0000,2.0000,3.7500,2.2167
2307,2018 - I,2.0000,2.3333,2.6667,1.6667,2.5000,2.2333
2308,2018 - I,3.0000,2.6667,2.3333,2.0000,1.2500,2.2500
2309,2018 - I,2.6667,3.3333,2.6667,1.4444,1.2500,2.2722
2310,2018 - I,2.3333,2.3333,2.3333,1.8889,2.5000,2.2778
2311,2018 - I,2.6667,3.0000,3.0000,1.5556,1.2500,2.2944
2312,2018 - I,1.6667,2.3333,2.0000,2.0000,3.7500,2.3500
2313,2018 - I,3.0000,2.3333,2.3333,2.8889,1.2500,2.3611
2314,2018 - I,2.3333,1.3333,2.0000,2.4444,3.7500,2.3722
2315,2018 - I,3.3333,1.3333,3.0000,1.8889,2.5000,2.4111
2316,2018 - I,2.0000,2.3333,3.0000,3.0000,2.5000,2.5667
2317,2018 - I,3.6667,2.6667,3.0000,2.4444,1.2500,2.6056
2318,2018 - I,3.6667,3.0000,3.3333,2.4444,1.2500,2.7389
2319,2018 - I,2.6667,3.3333,1.6667,2.6667,3.7500,2.8167
2320,2018 - I,3.3333,3.0000,3.0000,2.3333,2.5000,2.8333
2321,2018 - I,3.0000,3.0000,1.6667,2.8889,3.7500,2.8611
2322,2018 - I,2.6667,1.6667,3.3333,1.6667,5.0000,2.8667
2323,2018 - I,4.0000,2.6667,3.6667,3.1111,1.2500,2.9389
2324,2018 - I,3.0000,3.3333,2.6667,2.0000,3.7500,2.9500
2325,2018 - I,3.0000,3.3333,2.0000,2.6667,3.7500,2.9500
2326,2018 - I,1.6667,1.0000,0.6667,1.1111,1.2500,1.1389
2327,2018 - I,1.3333,0.6667,1.3333,1.2222,1.2500,1.1611
2328,2018 - I,3.0000,0.3333,1.0000,1.2222,1.2500,1.3611
2329,2018 - I,2.0000,2.3333,1.6667,2.0000,0.0000,1.6000
2330,2018 - I,2.3333,2.0000,2.0000,1.0000,1.2500,1.7167
2331,2018 - I,3.0000,1.6667,1.0000,3.2222,0.0000,1.7778
2332,2018 - I,1.6667,1.6667,2.0000,1.4444,2.5000,1.8556
2333,2018 - I,1.3333,2.3333,2.0000,2.7778,1.2500,1.9389
2334,2018 - I,2.0000,2.3333,1.6667,2.5556,1.2500,1.9611
2335,2018 - I,1.0000,2.0000,1.3333,3.1111,2.5000,1.9889
2336,2018 - I,2.3333,1.0000,2.3333,2.0000,2.5000,2.0333
2337,2018 - I,3.0000,1.6667,1.6667,1.6667,2.5000,2.1000
2338,2018 - I,2.3333,2.3333,2.0000,1.8889,2.5000,2.2111
2339,2018 - I,3.6667,1.3333,2.6667,2.3333,1.2500,2.2500
2340,2018 - I,2.3333,2.6667,3.6667,1.7778,1.2500,2.3389
2341,2018 - I,3.0000,1.3333,2.6667,2.3333,2.5000,2.3667
2342,2018 - I,2.3333,3.0000,2.6667,3.1111,1.2500,2.4722
2343,2018 - I,2.3333,3.0000,3.6667,2.2222,1.2500,2.4944
2344,2018 - I,2.3333,2.3333,3.6667,3.0000,1.2500,2.5167
2345,2018 - I,2.3333,4.3333,3.0000,3.1111,0.0000,2.5556
2346,2018 - I,2.3333,1.0000,1.3333,0.7778,0.0000,1.0889
2347,2018 - I,1.0000,1.3333,0.6667,2.3333,1.2500,1.3167
2348,2018 - I,3.0000,0.0000,1.0000,1.4444,1.2500,1.3389
2349,2018 - I,1.3333,0.6667,2.0000,1.6667,1.2500,1.3833
2350,2018 - I,1.3333,2.0000,0.3333,1.2222,2.5000,1.4778
2351,2018 - I,1.6667,1.3333,3.0000,1.4444,0.0000,1.4889
2352,2018 - I,0.6667,2.3333,2.0000,1.2222,1.2500,1.4944
2353,2018 - I,2.3333,1.0000,0.6667,2.2222,1.2500,1.4944
2354,2018 - I,1.6667,2.0000,0.6667,1.8889,1.2500,1.4944
2355,2018 - I,2.0000,1.0000,1.3333,2.2222,1.2500,1.5611
2356,2018 - I,1.6667,1.0000,1.6667,2.3333,1.2500,1.5833
2357,2018 - I,2.3333,1.0000,1.6667,1.8889,1.2500,1.6278
2358,2018 - I,1.6667,1.6667,1.3333,2.3333,1.2500,1.6500
2359,2018 - I,1.3333,2.3333,1.6667,1.7778,1.2500,1.6722
2360,2018 - I,2.3333,2.3333,1.0000,1.4444,1.2500,1.6722
2361,2018 - I,1.3333,2.0000,2.0000,1.7778,1.2500,1.6722
2362,2018 - I,2.0000,2.0000,1.6667,1.5556,1.2500,1.6944
2363,2018 - I,2.3333,2.0000,1.3333,1.7778,1.2500,1.7389
2364,2018 - I,2.6667,2.0000,2.6667,1.4444,0.0000,1.7556
2365,2018 - I,2.6667,2.0000,2.0000,2.2222,0.0000,1.7778
2366,2018 - I,2.3333,2.0000,1.6667,2.0000,1.2500,1.8500
2367,2018 - I,2.0000,2.3333,1.6667,2.0000,1.2500,1.8500
2368,2018 - I,2.3333,1.6667,1.6667,2.3333,1.2500,1.8500
2369,2018 - I,1.6667,1.0000,2.0000,2.1111,2.5000,1.8556
2370,2018 - I,2.0000,2.0000,2.0000,2.2222,1.2500,1.8944
2371,2018 - I,3.0000,2.0000,1.0000,2.2222,1.2500,1.8944
2372,2018 - I,2.6667,3.3333,2.0000,1.6667,0.0000,1.9333
2373,2018 - I,3.0000,2.6667,1.0000,1.7778,1.2500,1.9389
2374,2018 - I,1.6667,3.0000,2.6667,1.1111,1.2500,1.9389
2375,2018 - I,3.0000,2.6667,2.0000,2.1111,0.0000,1.9556
2376,2018 - I,2.3333,2.0000,2.3333,1.8889,1.2500,1.9611
2377,2018 - I,2.3333,2.6667,2.3333,1.3333,1.2500,1.9833
2378,2018 - I,2.3333,3.3333,2.0000,1.0000,1.2500,1.9833
2379,2018 - I,2.3333,2.0000,1.6667,1.6667,2.5000,2.0333
2380,2018 - I,1.6667,1.6667,1.3333,1.7778,3.7500,2.0389
2381,2018 - I,2.6667,3.0000,3.0000,1.5556,0.0000,2.0444
2382,2018 - I,2.6667,2.3333,1.6667,2.3333,1.2500,2.0500
2383,2018 - I,2.6667,2.0000,1.6667,1.4444,2.5000,2.0556
2384,2018 - I,1.3333,2.0000,3.6667,2.1111,1.2500,2.0722
2385,2018 - I,2.6667,2.3333,1.6667,2.4444,1.2500,2.0722
2386,2018 - I,2.3333,2.6667,3.3333,2.1111,0.0000,2.0889
2387,2018 - I,1.6667,1.3333,1.0000,1.4444,5.0000,2.0889
2388,2018 - I,3.3333,0.6667,2.3333,2.8889,1.2500,2.0944
2389,2018 - I,2.3333,1.6667,2.0000,2.0000,2.5000,2.1000
2390,2018 - I,2.3333,1.6667,3.3333,2.0000,1.2500,2.1167
2391,2018 - I,3.6667,2.3333,1.6667,1.6667,1.2500,2.1167
2392,2018 - I,2.3333,1.0000,1.6667,3.1111,2.5000,2.1222
2393,2018 - I,2.0000,2.3333,2.6667,2.4444,1.2500,2.1389
2394,2018 - I,2.3333,3.0000,1.3333,1.5556,2.5000,2.1444
2395,2018 - I,2.3333,2.6667,1.6667,1.6667,2.5000,2.1667
2396,2018 - I,2.6667,1.6667,1.6667,2.3333,2.5000,2.1667
2397,2018 - I,3.3333,2.3333,2.3333,1.6667,1.2500,2.1833
2398,2018 - I,2.3333,2.6667,1.6667,1.7778,2.5000,2.1889
2399,2018 - I,2.6667,3.0000,3.0000,2.3333,0.0000,2.2000
2400,2018 - I,1.6667,1.3333,2.0000,1.1111,5.0000,2.2222
2401,2018 - I,1.6667,2.3333,3.0000,1.6667,2.5000,2.2333
2402,2018 - I,3.0000,2.0000,2.6667,2.3333,1.2500,2.2500
2403,2018 - I,2.3333,2.0000,3.0000,1.5556,2.5000,2.2778
2404,2018 - I,2.6667,2.6667,2.6667,2.2222,1.2500,2.2944
2405,2018 - I,2.6667,2.0000,2.0000,1.1111,3.7500,2.3056
2406,2018 - I,2.3333,1.3333,1.6667,2.4444,3.7500,2.3056
2407,2018 - I,2.6667,3.3333,2.6667,1.6667,1.2500,2.3167
2408,2018 - I,3.0000,2.6667,2.0000,2.6667,1.2500,2.3167
2409,2018 - I,2.6667,3.0000,2.3333,2.3333,1.2500,2.3167
2410,2018 - I,3.6667,3.0000,3.0000,2.0000,0.0000,2.3333
2411,2018 - I,2.3333,3.0000,2.6667,2.4444,1.2500,2.3389
2412,2018 - I,2.3333,2.0000,2.6667,2.2222,2.5000,2.3444
2413,2018 - I,2.6667,2.3333,1.6667,2.5556,2.5000,2.3444
2414,2018 - I,3.0000,2.3333,1.3333,2.5556,2.5000,2.3444
2415,2018 - I,3.3333,2.0000,2.0000,1.8889,2.5000,2.3444
2416,2018 - I,2.3333,2.3333,2.3333,2.3333,2.5000,2.3667
2417,2018 - I,3.3333,1.3333,2.0000,1.4444,3.7500,2.3722
2418,2018 - I,2.3333,2.3333,3.3333,2.7778,1.2500,2.4056
2419,2018 - I,2.3333,2.6667,3.6667,2.2222,1.2500,2.4278
2420,2018 - I,3.0000,1.6667,2.0000,1.8889,3.7500,2.4611
2421,2018 - I,2.6667,3.3333,3.0000,2.2222,1.2500,2.4944
2422,2018 - I,3.0000,2.0000,2.3333,2.6667,2.5000,2.5000
2423,2018 - I,3.3333,1.6667,2.6667,2.3333,2.5000,2.5000
2424,2018 - I,2.6667,2.0000,2.3333,1.8889,3.7500,2.5278
2425,2018 - I,2.6667,3.3333,2.3333,1.8889,2.5000,2.5444
2426,2018 - I,3.6667,2.0000,3.0000,2.8889,1.2500,2.5611
2427,2018 - I,3.6667,3.3333,2.0000,2.6667,1.2500,2.5833
2428,2018 - I,3.6667,3.0000,1.6667,3.3333,1.2500,2.5833
2429,2018 - I,3.0000,2.0000,3.0000,2.4444,2.5000,2.5889
2430,2018 - I,2.6667,2.6667,3.6667,2.7778,1.2500,2.6056
2431,2018 - I,3.0000,3.3333,1.3333,1.7778,3.7500,2.6389
2432,2018 - I,2.3333,2.6667,2.6667,3.2222,2.5000,2.6778
2433,2018 - I,3.0000,3.0000,2.0000,1.7778,3.7500,2.7056
2434,2018 - I,3.6667,2.3333,4.0000,3.3333,1.2500,2.9167
2435,2018 - I,2.3333,1.0000,3.6667,2.6667,5.0000,2.9333
2436,2018 - I,3.6667,3.0000,3.0000,2.6667,2.5000,2.9667
2437,2018 - I,3.3333,3.3333,3.6667,4.0000,3.7500,3.6167
2438,2018 - I,4.3333,4.3333,3.3333,3.4444,3.7500,3.8389
2439,2018 - I,2.6667,3.0000,3.0000,3.5556,3.7500,3.1944
2440,2018 - I,2.6667,2.6667,2.6667,2.0000,2.5000,2.5000
2441,2018 - I,2.6667,2.0000,3.0000,2.4444,1.2500,2.2722
2442,2018 - I,2.3333,4.0000,3.3333,3.5556,1.2500,2.8944
2443,2018 - I,1.6667,1.6667,0.6667,1.4444,1.2500,1.3389
2444,2018 - I,2.3333,0.6667,2.0000,1.5556,1.2500,1.5611
2445,2018 - I,1.6667,0.6667,2.0000,1.6667,3.7500,1.9500
2446,2018 - I,2.0000,1.3333,2.0000,2.4444,2.5000,2.0556
2447,2018 - I,2.0000,1.6667,2.0000,2.5556,2.5000,2.1444
2448,2018 - I,2.3333,2.3333,3.3333,1.3333,3.7500,2.6167
2449,2018 - I,1.0000,0.6667,2.0000,1.4444,0.0000,1.0222
2450,2018 - I,1.0000,1.3333,1.6667,1.7778,0.0000,1.1556
2451,2018 - I,3.0000,0.3333,1.3333,1.6667,0.0000,1.2667
2452,2018 - I,1.6667,0.6667,1.6667,1.1111,1.2500,1.2722
2453,2018 - I,2.0000,1.0000,1.0000,1.6667,1.2500,1.3833
2454,2018 - I,2.0000,1.0000,1.6667,1.3333,1.2500,1.4500
2455,2018 - I,2.3333,1.6667,0.6667,1.5556,1.2500,1.4944
2456,2018 - I,2.3333,1.0000,1.3333,1.7778,1.2500,1.5389
2457,2018 - I,2.3333,2.3333,0.6667,1.1111,1.2500,1.5389
2458,2018 - I,1.3333,1.0000,1.3333,1.5556,2.5000,1.5444
2459,2018 - I,1.6667,1.6667,1.6667,1.5556,1.2500,1.5611
2460,2018 - I,2.6667,0.6667,1.3333,1.8889,1.2500,1.5611
2461,2018 - I,2.0000,1.6667,1.3333,1.6667,1.2500,1.5833
2462,2018 - I,2.0000,1.6667,1.6667,1.3333,1.2500,1.5833
2463,2018 - I,1.6667,1.0000,1.6667,2.3333,1.2500,1.5833
2464,2018 - I,1.6667,1.0000,2.3333,1.6667,1.2500,1.5833
2465,2018 - I,2.3333,0.0000,2.3333,2.0000,1.2500,1.5833
2466,2018 - I,2.0000,1.6667,1.3333,1.7778,1.2500,1.6056
2467,2018 - I,2.0000,1.0000,2.0000,1.8889,1.2500,1.6278
2468,2018 - I,2.3333,0.6667,2.3333,1.6667,1.2500,1.6500
2469,2018 - I,2.3333,1.3333,1.3333,2.1111,1.2500,1.6722
2470,2018 - I,1.3333,1.3333,2.0000,2.4444,1.2500,1.6722
2471,2018 - I,1.0000,2.6667,2.3333,1.1111,1.2500,1.6722
2472,2018 - I,1.3333,2.0000,1.3333,2.4444,1.2500,1.6722
2473,2018 - I,2.6667,1.0000,2.3333,1.2222,1.2500,1.6944
2474,2018 - I,2.6667,1.6667,1.6667,1.2222,1.2500,1.6944
2475,2018 - I,2.0000,2.0000,1.6667,1.6667,1.2500,1.7167
2476,2018 - I,2.3333,2.3333,2.6667,1.3333,0.0000,1.7333
2477,2018 - I,2.0000,2.0000,2.0000,1.4444,1.2500,1.7389
2478,2018 - I,2.0000,2.3333,1.3333,1.7778,1.2500,1.7389
2479,2018 - I,1.3333,2.0000,1.6667,2.5556,1.2500,1.7611
2480,2018 - I,3.6667,1.3333,1.3333,1.2222,1.2500,1.7611
2481,2018 - I,2.0000,1.0000,2.0000,1.3333,2.5000,1.7667
2482,2018 - I,1.6667,2.0000,1.0000,1.6667,2.5000,1.7667
2483,2018 - I,2.6667,1.6667,2.0000,1.3333,1.2500,1.7833
2484,2018 - I,2.3333,2.3333,1.6667,1.3333,1.2500,1.7833
2485,2018 - I,2.0000,1.3333,1.6667,1.4444,2.5000,1.7889
2486,2018 - I,3.3333,1.6667,2.0000,2.0000,0.0000,1.8000
2487,2018 - I,3.6667,0.6667,3.3333,1.3333,0.0000,1.8000
2488,2018 - I,2.6667,1.6667,2.0000,1.4444,1.2500,1.8056
2489,2018 - I,2.6667,2.3333,1.3333,1.4444,1.2500,1.8056
2490,2018 - I,3.0000,1.3333,2.3333,1.2222,1.2500,1.8278
2491,2018 - I,3.3333,1.3333,1.6667,1.5556,1.2500,1.8278
2492,2018 - I,2.0000,2.3333,2.6667,1.0000,1.2500,1.8500
2493,2018 - I,2.0000,1.6667,2.6667,1.7778,1.2500,1.8722
2494,2018 - I,3.3333,1.0000,2.6667,1.1111,1.2500,1.8722
2495,2018 - I,2.3333,2.0000,1.3333,2.5556,1.2500,1.8944
2496,2018 - I,2.3333,2.0000,2.0000,1.8889,1.2500,1.8944
2497,2018 - I,3.3333,1.3333,2.0000,1.6667,1.2500,1.9167
2498,2018 - I,1.6667,2.0000,2.6667,2.1111,1.2500,1.9389
2499,2018 - I,2.0000,1.3333,2.6667,2.4444,1.2500,1.9389
2500,2018 - I,2.3333,2.3333,2.6667,1.2222,1.2500,1.9611
2501,2018 - I,3.0000,2.0000,1.3333,2.3333,1.2500,1.9833
2502,2018 - I,3.0000,2.0000,2.0000,1.8889,1.2500,2.0278
2503,2018 - I,3.0000,2.6667,2.0000,1.2222,1.2500,2.0278
2504,2018 - I,2.0000,2.6667,2.0000,2.3333,1.2500,2.0500
2505,2018 - I,2.0000,1.6667,2.3333,3.1111,1.2500,2.0722
2506,2018 - I,3.3333,1.3333,1.3333,3.2222,1.2500,2.0944
2507,2018 - I,2.3333,1.6667,2.3333,1.7778,2.5000,2.1222
2508,2018 - I,2.6667,2.0000,2.0000,2.8889,1.2500,2.1611
2509,2018 - I,2.3333,3.0000,1.3333,1.6667,2.5000,2.1667
2510,2018 - I,2.0000,1.6667,2.0000,1.4444,3.7500,2.1722
2511,2018 - I,3.0000,1.3333,2.0000,2.2222,2.5000,2.2111
2512,2018 - I,3.0000,1.0000,1.3333,3.2222,2.5000,2.2111
2513,2018 - I,2.3333,1.3333,1.0000,1.4444,5.0000,2.2222
2514,2018 - I,2.0000,3.3333,2.0000,2.5556,1.2500,2.2278
2515,2018 - I,2.6667,1.0000,3.3333,1.6667,2.5000,2.2333
2516,2018 - I,2.6667,2.6667,3.3333,1.3333,1.2500,2.2500
2517,2018 - I,2.0000,1.3333,2.6667,1.5556,3.7500,2.2611
2518,2018 - I,2.6667,2.0000,2.6667,1.5556,2.5000,2.2778
2519,2018 - I,3.6667,1.6667,1.6667,1.8889,2.5000,2.2778
2520,2018 - I,3.3333,1.6667,2.3333,3.0000,1.2500,2.3167
2521,2018 - I,3.3333,2.6667,2.3333,2.1111,1.2500,2.3389
2522,2018 - I,2.0000,1.6667,2.0000,2.3333,3.7500,2.3500
2523,2018 - I,2.0000,2.0000,3.0000,1.0000,3.7500,2.3500
2524,2018 - I,2.0000,3.0000,2.0000,3.5556,1.2500,2.3611
2525,2018 - I,3.0000,2.0000,2.6667,1.6667,2.5000,2.3667
2526,2018 - I,2.6667,2.3333,2.0000,2.3333,2.5000,2.3667
2527,2018 - I,2.3333,1.3333,2.6667,3.0000,2.5000,2.3667
2528,2018 - I,2.6667,1.3333,2.0000,2.1111,3.7500,2.3722
2529,2018 - I,2.3333,2.3333,2.0000,2.7778,2.5000,2.3889
2530,2018 - I,2.3333,2.3333,2.3333,1.2222,3.7500,2.3944
2531,2018 - I,3.0000,2.3333,2.0000,3.4444,1.2500,2.4056
2532,2018 - I,3.3333,2.6667,2.6667,2.2222,1.2500,2.4278
2533,2018 - I,2.0000,2.0000,2.6667,3.0000,2.5000,2.4333
2534,2018 - I,3.3333,2.6667,1.6667,2.0000,2.5000,2.4333
2535,2018 - I,3.0000,1.3333,2.3333,1.7778,3.7500,2.4389
2536,2018 - I,2.6667,1.3333,2.3333,2.1111,3.7500,2.4389
2537,2018 - I,2.6667,1.3333,2.0000,2.4444,3.7500,2.4389
2538,2018 - I,2.6667,2.3333,3.0000,3.0000,1.2500,2.4500
2539,2018 - I,3.0000,2.3333,2.3333,2.3333,2.5000,2.5000
2540,2018 - I,3.0000,1.3333,1.3333,3.2222,3.7500,2.5278
2541,2018 - I,3.0000,1.0000,3.3333,2.8889,2.5000,2.5444
2542,2018 - I,3.3333,3.3333,2.6667,2.2222,1.2500,2.5611
2543,2018 - I,3.3333,1.0000,1.6667,1.8889,5.0000,2.5778
2544,2018 - I,4.0000,2.6667,3.6667,1.5556,1.2500,2.6278
2545,2018 - I,2.0000,3.0000,2.3333,3.3333,2.5000,2.6333
2546,2018 - I,3.6667,1.0000,2.0000,1.7778,5.0000,2.6889
2547,2018 - I,3.3333,1.3333,2.0000,2.0000,5.0000,2.7333
2548,2018 - I,2.3333,2.6667,2.3333,2.1111,5.0000,2.8889
2549,2018 - I,3.0000,2.6667,3.6667,3.4444,2.5000,3.0556
2550,2018 - I,4.0000,3.6667,3.0000,2.2222,2.5000,3.0778
2551,2018 - I,1.0000,1.6667,0.6667,1.1111,0.0000,0.8889
2552,2018 - I,1.0000,0.6667,0.6667,1.5556,1.2500,1.0278
2553,2018 - I,1.6667,0.6667,0.3333,1.2222,1.2500,1.0278
2554,2018 - I,1.6667,1.0000,1.6667,1.3333,0.0000,1.1333
2555,2018 - I,1.3333,2.0000,0.6667,1.6667,0.0000,1.1333
2556,2018 - I,1.3333,1.6667,1.6667,1.7778,0.0000,1.2889
2557,2018 - I,1.0000,0.6667,1.6667,1.8889,1.2500,1.2944
2558,2018 - I,2.0000,1.6667,2.3333,0.8889,0.0000,1.3778
2559,2018 - I,2.0000,1.3333,1.3333,1.0000,1.2500,1.3833
2560,2018 - I,2.0000,1.6667,1.0000,1.1111,1.2500,1.4056
2561,2018 - I,1.0000,1.3333,2.3333,1.3333,1.2500,1.4500
2562,2018 - I,2.6667,0.6667,1.0000,1.7778,1.2500,1.4722
2563,2018 - I,2.6667,1.0000,2.3333,1.4444,0.0000,1.4889
2564,2018 - I,3.3333,1.3333,0.6667,0.8889,1.2500,1.4944
2565,2018 - I,1.6667,2.0000,1.0000,1.7778,1.2500,1.5389
2566,2018 - I,2.6667,1.0000,1.0000,1.8889,1.2500,1.5611
2567,2018 - I,1.6667,2.0000,1.6667,1.2222,1.2500,1.5611
2568,2018 - I,1.6667,1.0000,1.0000,1.6667,2.5000,1.5667
2569,2018 - I,2.3333,2.3333,2.0000,1.4444,0.0000,1.6222
2570,2018 - I,2.0000,0.6667,2.0000,2.2222,1.2500,1.6278
2571,2018 - I,3.0000,1.0000,0.6667,2.2222,1.2500,1.6278
2572,2018 - I,2.6667,1.3333,1.6667,1.3333,1.2500,1.6500
2573,2018 - I,3.0000,1.3333,1.3333,1.3333,1.2500,1.6500
2574,2018 - I,3.0000,1.0000,1.3333,1.7778,1.2500,1.6722
2575,2018 - I,2.0000,1.3333,2.0000,1.8889,1.2500,1.6944
2576,2018 - I,1.6667,1.6667,2.3333,1.5556,1.2500,1.6944
2577,2018 - I,2.0000,1.3333,2.3333,1.5556,1.2500,1.6944
