Sample,Period,RC,QR,CS,EP,WC,Average
84,2018 - I,1.6667,1.6667,2.0000,1.5556,1.2500,1.6278
85,2018 - I,2.0000,2.0000,1.0000,1.8889,1.2500,1.6278
86,2018 - I,2.0000,2.0000,1.3333,1.6667,1.2500,1.6500
87,2018 - I,2.0000,2.0000,1.0000,2.0000,1.2500,1.6500
88,2018 - I,2.0000,2.0000,2.0000,1.1111,1.2500,1.6722
89,2018 - I,2.3333,2.3333,0.6667,1.7778,1.2500,1.6722
90,2018 - I,2.6667,2.3333,1.6667,1.7778,0.0000,1.6889
91,2018 - I,2.6667,2.6667,1.6667,1.4444,0.0000,1.6889
92,2018 - I,2.3333,2.0000,1.3333,1.5556,1.2500,1.6944
93,2018 - I,2.6667,2.3333,1.0000,1.2222,1.2500,1.6944
94,2018 - I,3.0000,1.6667,1.3333,1.2222,1.2500,1.6944
95,2018 - I,2.0000,2.0000,1.3333,2.0000,1.2500,1.7167
96,2018 - I,2.0000,1.6667,1.6667,2.1111,1.2500,1.7389
97,2018 - I,1.3333,2.6667,1.6667,1.7778,1.2500,1.7389
98,2018 - I,2.3333,2.6667,1.0000,1.4444,1.2500,1.7389
99,2018 - I,2.3333,2.0000,1.6667,1.4444,1.2500,1.7389
100,2018 - I,2.0000,2.3333,2.3333,2.1111,0.0000,1.7556
101,2018 - I,2.0000,2.6667,1.3333,1.5556,1.2500,1.7611
102,2018 - I,2.3333,2.3333,2.0000,0.8889,1.2500,1.7611
103,2018 - I,1.3333,2.3333,1.6667,2.2222,1.2500,1.7611
104,2018 - I,2.3333,1.6667,2.3333,2.5556,0.0000,1.7778
105,2018 - I,2.3333,2.6667,1.6667,1.0000,1.2500,1.7833
106,2018 - I,2.0000,3.3333,0.6667,1.6667,1.2500,1.7833
107,2018 - I,1.6667,2.0000,1.3333,1.4444,2.5000,1.7889
108,2018 - I,1.6667,2.6667,1.3333,2.1111,1.2500,1.8056
109,2018 - I,2.6667,3.0000,1.3333,2.1111,0.0000,1.8222
110,2018 - I,2.3333,2.0000,2.0000,1.5556,1.2500,1.8278
111,2018 - I,2.6667,2.0000,2.0000,1.2222,1.2500,1.8278
112,2018 - I,2.6667,2.3333,1.6667,1.2222,1.2500,1.8278
113,2018 - I,2.6667,3.0000,1.0000,1.2222,1.2500,1.8278
114,2018 - I,1.3333,2.0000,2.6667,2.0000,1.2500,1.8500
115,2018 - I,2.3333,2.6667,1.0000,2.0000,1.2500,1.8500
116,2018 - I,2.6667,2.6667,1.3333,1.3333,1.2500,1.8500
117,2018 - I,3.0000,2.0000,2.3333,2.0000,0.0000,1.8667
118,2018 - I,2.3333,2.3333,1.6667,1.7778,1.2500,1.8722
119,2018 - I,2.3333,2.6667,1.6667,1.4444,1.2500,1.8722
120,2018 - I,3.0000,2.0000,1.3333,1.7778,1.2500,1.8722
121,2018 - I,1.0000,3.0000,1.6667,2.4444,1.2500,1.8722
122,2018 - I,2.0000,2.6667,0.6667,1.5556,2.5000,1.8778
123,2018 - I,3.0000,2.6667,2.0000,1.7778,0.0000,1.8889
124,2018 - I,1.3333,3.3333,2.3333,1.2222,1.2500,1.8944
125,2018 - I,1.3333,1.3333,2.6667,3.0000,1.2500,1.9167
126,2018 - I,2.3333,2.3333,2.3333,1.3333,1.2500,1.9167
127,2018 - I,3.0000,2.0000,2.0000,1.3333,1.2500,1.9167
128,2018 - I,2.3333,2.6667,2.6667,2.0000,0.0000,1.9333
129,2018 - I,3.0000,3.0000,1.3333,2.3333,0.0000,1.9333
130,2018 - I,1.6667,2.6667,2.3333,1.7778,1.2500,1.9389
131,2018 - I,2.3333,2.3333,2.0000,1.7778,1.2500,1.9389
132,2018 - I,1.3333,2.3333,2.6667,2.1111,1.2500,1.9389
